time,open,high,low,close,volume
1970-01-01 00:44:30,131.03,132.98,113.46,114.79,175
1970-01-01 00:44:40,112.4,117.84,107.93,109.45,151
1970-01-01 00:44:50,108.73,113.92,103.51,103.51,146
1970-01-01 00:45:00,104.03,117.51,98.75,98.76,143
1970-01-01 00:45:10,98.36,104.34,96.68,99.85,145
1970-01-01 00:45:20,100.04,105.28,97.73,101.06,166
1970-01-01 00:45:30,100.71,102.25,94.48,95.19,149
1970-01-01 00:45:40,95.08,97.44,89.6,89.6,121
1970-01-01 00:45:50,89.6,102.55,87.91,100.13,195
1970-01-01 00:46:00,95.24,104.79,91.96,103.49,157
1970-01-01 00:46:10,103.49,107.49,99.34,99.55,172
1970-01-01 00:46:20,99.55,106.67,97.06,106.67,160
1970-01-01 00:46:30,107.59,110.52,96.39,108.93,157
1970-01-01 00:46:40,110.29,112.46,95.16,110.07,140
1970-01-01 00:46:50,110.78,115.64,109.26,109.37,149
1970-01-01 00:47:00,109.37,117.79,106.07,107.61,171
1970-01-01 00:47:10,107.61,112.03,107.61,111.68,89
1970-01-01 00:47:20,111.44,115.82,101.44,115.48,212
1970-01-01 00:47:30,115.48,118.85,97.89,117.77,163
1970-01-01 00:47:40,117.77,120.3,96.86,98.97,97
1970-01-01 00:47:50,98.97,101.75,94.8,94.8,206
1970-01-01 00:48:00,94.8,104.06,90.84,91.21,183
1970-01-01 00:48:10,104.16,107.16,90.44,98.05,126
1970-01-01 00:48:20,97.79,111.54,91.4,110.59,177
1970-01-01 00:48:30,110.59,117.54,109.65,116.54,150
1970-01-01 00:48:40,116.54,120.82,109.03,109.74,168
1970-01-01 00:48:50,109.42,113.0,104.7,112.63,156
1970-01-01 00:49:00,112.63,116.77,102.99,115.6,146
1970-01-01 00:49:10,114.8,121.59,98.73,121.53,171
1970-01-01 00:49:20,121.13,124.84,98.04,121.98,154
1970-01-01 00:49:30,117.07,125.38,113.79,114.08,122
1970-01-01 00:49:40,114.08,125.49,110.08,124.72,165
1970-01-01 00:49:50,124.72,126.17,107.98,113.01,147
