time,price
1679201,76.87
1679201,75.41
1679201,77.45
1679201,76.20
1679201,77.06
1679201,77.34
1679201,77.07
1679201,76.28
1679201,76.87
1681401,75.54
1681401,75.54
1681401,75.54
1681401,74.69
1681401,75.15
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.07
1681401,75.54
1681401,75.41
1681401,75.54
1681401,75.41
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681401,75.54
1681601,74.09
1681601,74.09
1681801,73.80
1682001,73.80
1682401,73.80
1682401,73.73
1682401,73.61
1682401,73.80
1682401,73.78
1682401,73.75
1682801,73.02
1682801,73.80
1682801,73.80
1683601,72.31
1683601,72.31
1683601,72.31
1683601,72.31
1683601,72.31
1683601,72.31
1683601,72.31
1683801,71.62
1683801,72.07
1684001,71.51
1684201,72.08
1684201,70.85
1684201,70.87
1684401,71.81
1684401,72.23
1684801,72.43
1684801,72.66
1684801,72.72
1684801,78.12
1684801,78.01
1684801,78.05
1684801,77.98
1684801,72.63
1684801,77.79
1684801,77.76
1684801,77.76
1684801,77.66
1684801,77.64
1684801,77.62
1684801,77.48
1684801,71.59
1684801,72.28
1684801,72.32
1684801,77.59
1684801,76.75
1684801,77.08
1684801,77.29
1684801,77.11
1684801,74.27
1684801,74.06
1684801,74.09
1684801,74.49
1684801,76.70
1684801,75.54
1684801,73.29
1684801,74.27
1684801,74.27
1684801,73.43
1684801,73.95
1684801,73.80
1684801,72.91
1684801,73.21
1684801,73.17
1685001,77.50
1685201,77.80
1685601,78.04
1685801,78.04
1686001,77.77
1686001,77.77
1686201,78.04
1686201,78.04
1686401,78.04
1686801,78.04
1686801,78.04
1687001,78.04
1687401,78.04
1688001,78.04
1688001,78.04
1688601,78.04
1688801,78.04
1688801,78.04
1689601,78.04
1689801,78.04
1690001,78.04
1690001,78.14
1690001,78.18
1690001,78.33
1690001,78.84
1690001,78.17
1690001,78.81
1690001,78.04
1690001,78.09
1690001,78.11
1690001,78.76
1690001,78.81
1690001,78.77
1690001,78.79
1690001,78.59
1690001,78.77
1690001,78.52
1690001,78.53
1690001,78.59
1690001,78.74
1690001,78.73
1690001,78.44
1690001,78.54
1690001,78.57
1690001,78.46
1690001,78.52
1690001,79.56
1690001,78.49
1690001,78.34
1690001,78.39
1690001,78.35
1690201,79.92
1690201,78.04
1690201,78.04
1690201,78.04
1690201,71.40
1690201,71.59
1690201,71.59
1690201,71.59
1690201,78.04
1690201,77.17
1690201,77.06
1690201,77.32
1690201,77.29
1690201,77.32
1690201,77.38
1690201,77.40
1690201,77.58
1690201,79.74
1690201,79.11
1690201,78.04
1690201,77.56
1690201,77.78
1690201,77.75
1690201,77.64
1690201,77.72
1690201,77.99
1690201,78.04
1690201,77.98
1690201,77.91
1690201,78.04
1690201,77.95
1690201,78.04
1690201,77.99
1690201,78.04
1690201,78.04
1690201,78.04
1690201,78.04
1690201,78.04
1690201,78.04
1690201,78.04
1690601,71.12
1690801,70.67
1691001,71.09
1691201,70.77
1691201,70.51
1691201,70.12
1691201,70.77
1691401,70.62
1691401,70.60
1691601,70.64
1691801,70.47
1692001,70.47
1692401,70.47
1692401,70.43
1692401,70.06
1692401,70.22
1692401,70.47
1692401,70.47
1692401,70.44
1692401,70.47
1692801,70.47
1692801,70.83
1692801,71.09
1692801,71.09
1692801,70.94
1692801,70.69
1692801,70.77
1692801,71.48
1692801,71.12
1692801,71.55
1692801,71.56
1692801,71.12
1692801,71.25
1693201,71.75
1693601,71.75
1694001,71.75
1694401,71.75
1694601,71.75
1694801,71.75
1695001,71.75
1695001,71.83
1695001,72.00
1695001,72.14
1695001,71.91
1695001,71.75
1695001,71.76
1695001,72.23
1695001,72.42
1695001,72.31
1695201,72.02
1695401,71.80
1695801,71.75
1695801,71.75
1696001,72.00
1696001,72.00
1696201,71.75
1696201,71.75
1696201,71.75
1696601,72.00
1696601,72.00
1696801,72.00
1696801,72.00
